zone,zone_key,tier,signal,available_from,historical_temporal_granularity,real_time_granularity,forecast_source,horizons,forecast_granularity
Tasmania,AU-TAS,A,Fossil Only Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Tasmania,AU-TAS,A,Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Tasmania,AU-TAS,A,Electricity Flows,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Tasmania,AU-TAS,A,Total Load,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Tasmania,AU-TAS,A,Electricity Mix,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Victoria,AU-VIC,A,Price Day Ahead,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Victoria,AU-VIC,A,Renewable Energy,2016-12-31T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Victoria,AU-VIC,A,Carbon Free Energy,2016-12-31T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Victoria,AU-VIC,A,Fossil Only Carbon Intensity,2016-12-31T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Victoria,AU-VIC,A,Carbon Intensity,2016-12-31T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Victoria,AU-VIC,A,Electricity Flows,2016-12-31T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Victoria,AU-VIC,A,Total Load,2016-12-31T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Victoria,AU-VIC,A,Electricity Mix,2016-12-31T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Rottnest Island,AU-WA-RI,A,Renewable Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Rottnest Island,AU-WA-RI,A,Carbon Free Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Rottnest Island,AU-WA-RI,A,Fossil Only Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Rottnest Island,AU-WA-RI,A,Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Rottnest Island,AU-WA-RI,A,Electricity Flows,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Rottnest Island,AU-WA-RI,A,Total Load,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Rottnest Island,AU-WA-RI,A,Electricity Mix,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Western Australia,AU-WA,A,Price Day Ahead,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Western Australia,AU-WA,A,Renewable Energy,2016-12-31T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Western Australia,AU-WA,A,Carbon Free Energy,2016-12-31T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Western Australia,AU-WA,A,Fossil Only Carbon Intensity,2016-12-31T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Western Australia,AU-WA,A,Carbon Intensity,2016-12-31T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Western Australia,AU-WA,A,Electricity Flows,2016-12-31T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Western Australia,AU-WA,A,Total Load,2016-12-31T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Western Australia,AU-WA,A,Electricity Mix,2016-12-31T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Azerbaijan,AZ,C,Renewable Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Azerbaijan,AZ,C,Carbon Free Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Azerbaijan,AZ,C,Fossil Only Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Azerbaijan,AZ,C,Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Azerbaijan,AZ,C,Electricity Flows,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Azerbaijan,AZ,C,Total Load,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Azerbaijan,AZ,C,Electricity Mix,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bosnia and Herzegovina,BA,A,Renewable Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bosnia and Herzegovina,BA,A,Carbon Free Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bosnia and Herzegovina,BA,A,Fossil Only Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bosnia and Herzegovina,BA,A,Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bosnia and Herzegovina,BA,A,Electricity Flows,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bosnia and Herzegovina,BA,A,Total Load,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bosnia and Herzegovina,BA,A,Electricity Mix,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bosnia and Herzegovina,BA,A,Total Reported Load,2018-01-01T00:00:00.000Z,"5min, 15min, hourly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Barbados,BB,C,Renewable Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Barbados,BB,C,Carbon Free Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Barbados,BB,C,Fossil Only Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Barbados,BB,C,Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Barbados,BB,C,Electricity Flows,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Barbados,BB,C,Total Load,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Barbados,BB,C,Electricity Mix,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Barbados,BB,C,Total Reported Load,2019-01-01T00:00:00.000Z,"5min, 15min, hourly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bangladesh,BD,A,Renewable Energy,2015-04-16T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bangladesh,BD,A,Carbon Free Energy,2015-04-16T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bangladesh,BD,A,Fossil Only Carbon Intensity,2015-04-16T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bangladesh,BD,A,Carbon Intensity,2015-04-16T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bangladesh,BD,A,Electricity Flows,2015-04-16T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bangladesh,BD,A,Total Load,2015-04-16T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bangladesh,BD,A,Electricity Mix,2015-04-16T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bangladesh,BD,A,Total Reported Load,2018-01-01T00:00:00.000Z,"5min, 15min, hourly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Burkina Faso,BF,C,Renewable Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Burkina Faso,BF,C,Carbon Free Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Burkina Faso,BF,C,Fossil Only Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Burkina Faso,BF,C,Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Burkina Faso,BF,C,Electricity Flows,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Burkina Faso,BF,C,Total Load,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Burkina Faso,BF,C,Electricity Mix,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bulgaria,BG,A,Price Day Ahead,2016-10-31T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bulgaria,BG,A,Renewable Energy,2015-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bulgaria,BG,A,Carbon Free Energy,2015-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bulgaria,BG,A,Fossil Only Carbon Intensity,2015-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bulgaria,BG,A,Carbon Intensity,2015-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bulgaria,BG,A,Electricity Flows,2015-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bulgaria,BG,A,Total Load,2015-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bulgaria,BG,A,Electricity Mix,2015-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bulgaria,BG,A,Total Reported Load,2018-01-01T00:00:00.000Z,"5min, 15min, hourly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bahrain,BH,C,Renewable Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bahrain,BH,C,Carbon Free Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bahrain,BH,C,Fossil Only Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bahrain,BH,C,Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bahrain,BH,C,Electricity Flows,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bahrain,BH,C,Total Load,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bahrain,BH,C,Electricity Mix,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bahrain,BH,C,Total Reported Load,2019-01-01T00:00:00.000Z,"5min, 15min, hourly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Burundi,BI,C,Renewable Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Burundi,BI,C,Carbon Free Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Burundi,BI,C,Fossil Only Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Burundi,BI,C,Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Burundi,BI,C,Electricity Flows,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Burundi,BI,C,Total Load,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Burundi,BI,C,Electricity Mix,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Benin,BJ,C,Renewable Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Benin,BJ,C,Carbon Free Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Benin,BJ,C,Fossil Only Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Benin,BJ,C,Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Benin,BJ,C,Electricity Flows,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Benin,BJ,C,Total Load,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Benin,BJ,C,Electricity Mix,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Brunei,BN,C,Renewable Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Brunei,BN,C,Carbon Free Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Brunei,BN,C,Fossil Only Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Brunei,BN,C,Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Brunei,BN,C,Electricity Flows,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Brunei,BN,C,Total Load,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Brunei,BN,C,Electricity Mix,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bolivia,BO,A,Renewable Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bolivia,BO,A,Carbon Free Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bolivia,BO,A,Fossil Only Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bolivia,BO,A,Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bolivia,BO,A,Electricity Flows,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bolivia,BO,A,Total Load,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Bolivia,BO,A,Electricity Mix,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Central Brazil,BR-CS,A,Renewable Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Central Brazil,BR-CS,A,Carbon Free Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Central Brazil,BR-CS,A,Fossil Only Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Central Brazil,BR-CS,A,Carbon Intensity,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Central Brazil,BR-CS,A,Electricity Flows,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Central Brazil,BR-CS,A,Total Load,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
Central Brazil,BR-CS,A,Electricity Mix,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
North Brazil,BR-N,A,Renewable Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
North Brazil,BR-N,A,Carbon Free Energy,2017-01-01T00:00:00.000Z,"5min, 15min, hourly, daily, monthly, quarterly, yearly","5min, 15min, hourly",Forecasted by Electricity Maps,"24h, 48h, 72h","5min, 15min, hourly"
